datetime,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,shortwave_radiation,cloudcover,latitude,longitude
2020-01-01 00:00:00,4.0,0.0,0.0,0.0,6.6,0.0,55,51.5085,-0.1257
2020-01-01 01:00:00,2.0,0.0,0.0,0.0,9.1,0.0,8,51.5085,-0.1257
2020-01-01 02:00:00,2.0,0.0,0.0,0.0,7.2,0.0,28,51.5085,-0.1257
2020-01-01 03:00:00,2.6,0.0,0.0,0.0,6.5,0.0,92,51.5085,-0.1257
2020-01-01 04:00:00,3.3,0.0,0.0,0.0,6.1,0.0,100,51.5085,-0.1257
2020-01-01 05:00:00,3.9,0.0,0.0,0.0,6.5,0.0,90,51.5085,-0.1257
2020-01-01 06:00:00,4.0,0.0,0.0,0.0,4.2,0.0,95,51.5085,-0.1257
2020-01-01 07:00:00,4.3,0.0,0.0,0.0,5.1,0.0,100,51.5085,-0.1257
2020-01-01 08:00:00,3.8,0.0,0.0,0.0,6.5,0.0,100,51.5085,-0.1257
2020-01-01 09:00:00,4.7,0.0,0.0,0.0,1.8,12.0,100,51.5085,-0.1257
2020-01-01 10:00:00,5.3,0.0,0.0,0.0,3.0,53.0,91,51.5085,-0.1257
2020-01-01 11:00:00,6.0,0.0,0.0,0.0,3.0,109.0,100,51.5085,-0.1257
2020-01-01 12:00:00,6.1,0.0,0.0,0.0,3.8,108.0,100,51.5085,-0.1257
2020-01-01 13:00:00,6.5,0.0,0.0,0.0,3.4,67.0,100,51.5085,-0.1257
2020-01-01 14:00:00,6.6,0.0,0.0,0.0,1.4,49.0,100,51.5085,-0.1257
2020-01-01 15:00:00,6.6,0.0,0.0,0.0,2.6,29.0,100,51.5085,-0.1257
2020-01-01 16:00:00,6.1,0.0,0.0,0.0,4.8,8.0,100,51.5085,-0.1257
2020-01-01 17:00:00,6.1,0.0,0.0,0.0,4.0,0.0,100,51.5085,-0.1257
2020-01-01 18:00:00,6.2,0.0,0.0,0.0,6.6,0.0,100,51.5085,-0.1257
2020-01-01 19:00:00,6.2,0.0,0.0,0.0,7.6,0.0,100,51.5085,-0.1257
2020-01-01 20:00:00,6.2,0.0,0.0,0.0,7.2,0.0,100,51.5085,-0.1257
2020-01-01 21:00:00,6.4,0.0,0.0,0.0,7.9,0.0,100,51.5085,-0.1257
2020-01-01 22:00:00,6.0,0.0,0.0,0.0,8.3,0.0,99,51.5085,-0.1257
2020-01-01 23:00:00,6.2,0.0,0.0,0.0,9.1,0.0,95,51.5085,-0.1257
2020-01-02 00:00:00,5.9,0.0,0.0,0.0,9.3,0.0,93,51.5085,-0.1257
2020-01-02 01:00:00,6.2,0.0,0.0,0.0,9.0,0.0,96,51.5085,-0.1257
2020-01-02 02:00:00,5.9,0.0,0.0,0.0,8.6,0.0,63,51.5085,-0.1257
2020-01-02 03:00:00,5.7,0.0,0.0,0.0,10.1,0.0,63,51.5085,-0.1257
2020-01-02 04:00:00,6.0,0.0,0.0,0.0,10.9,0.0,75,51.5085,-0.1257
2020-01-02 05:00:00,6.3,0.0,0.0,0.0,12.8,0.0,71,51.5085,-0.1257
2020-01-02 06:00:00,6.7,0.0,0.0,0.0,14.5,0.0,88,51.5085,-0.1257
2020-01-02 07:00:00,7.1,0.0,0.0,0.0,14.8,0.0,100,51.5085,-0.1257
2020-01-02 08:00:00,7.3,0.0,0.0,0.0,14.7,0.0,100,51.5085,-0.1257
2020-01-02 09:00:00,8.1,0.0,0.0,0.0,16.7,7.0,100,51.5085,-0.1257
2020-01-02 10:00:00,8.8,0.0,0.0,0.0,18.2,27.0,96,51.5085,-0.1257
2020-01-02 11:00:00,9.7,0.0,0.0,0.0,21.3,71.0,74,51.5085,-0.1257
2020-01-02 12:00:00,9.7,0.0,0.0,0.0,18.3,116.0,56,51.5085,-0.1257
2020-01-02 13:00:00,10.0,0.0,0.0,0.0,22.6,116.0,98,51.5085,-0.1257
2020-01-02 14:00:00,9.6,0.0,0.0,0.0,25.0,67.0,98,51.5085,-0.1257
2020-01-02 15:00:00,9.5,0.0,0.0,0.0,24.2,62.0,100,51.5085,-0.1257
2020-01-02 16:00:00,9.3,0.0,0.0,0.0,24.2,8.0,100,51.5085,-0.1257
2020-01-02 17:00:00,9.4,0.0,0.0,0.0,24.2,0.0,100,51.5085,-0.1257
2020-01-02 18:00:00,9.7,0.0,0.0,0.0,24.9,0.0,100,51.5085,-0.1257
